@id,name,@lat,@lon,railway,public_transport
29123764,Ernst-Reuter-Platz,52.5118853,13.3221613,station,station
29164943,Ochsenfurt,49.6631062,10.0736945,station,station
29190897,Lindauer Allee,52.5754161,13.3384251,station,station
29271563,Festhalle/Messe,50.1117146,8.6558163,station,station
29271568,Bockenheimer Warte,50.1200336,8.6527636,station,station
29276567,Retzbach-Zellingen,49.9055365,9.8139812,station,station
29282389,Steinheim-Sandebeck,51.8183828,8.9870423,halt,station
29282396,Leopoldstal,51.8444649,8.9710978,station,station
29282420,Horn-Bad Meinberg,51.8815659,8.9551479,station,station
29283229,Bad Salzuflen-Sylbach,52.0272230,8.7654339,halt,station
29283242,Schötmar,52.0698092,8.7549376,halt,station
29363817,Bennemühlen,52.5814053,9.7264354,station,station
29363847,Bissendorf,52.5224385,9.7481226,station,station
29363849,Langenhagen Pferdemarkt,52.4508691,9.7357175,station,station
29363851,Hannover-Vinnhorst,52.4236556,9.7072201,station,station
29366548,Eberswalde Hauptbahnhof,52.8340052,13.7977826,station,station
29494301,Jannowitzbrücke,52.5153554,13.4181732,station,station
29497638,Innsbrucker Platz,52.4789870,13.3436736,station,station
29502808,Fornsbach,48.9754417,9.6425790,station,station
29502812,Fichtenberg,48.9874486,9.7010109,station,station
29502822,Schwäbisch Hall-Hessental,49.0967600,9.7675037,station,station
29530137,Friedrichshafen Stadt,47.6532337,9.4737004,station,station
29542815,Maximiliansau Im Rüsten,49.0349146,8.2795954,halt,station
29556527,Nellmersbach,48.9033873,9.4154282,halt,station
29584141,Schwäbisch Hall,49.1080592,9.7336683,station,station
29763732,Dahlewitz,52.3263491,13.4198383,halt,station
29774619,Ritterhude,53.1834906,8.7538093,halt,
29803394,Nied,50.1023216,8.5714188,halt,station
29803407,Griesheim,50.0943620,8.6056814,station,station
29803428,Rummelsburg,52.5012880,13.4783670,station,station
29805967,Berlin-Lichtenberg,52.5097832,13.4961404,station,station
29807251,Friedrichsfelde Ost,52.5141126,13.5200880,halt,station
29833469,Bayerischer Platz,52.4885755,13.3405436,station,station
29858001,Poelchaustraße,52.5358712,13.5355776,halt,station
29858158,Raoul-Wallenberg-Straße,52.5507334,13.5475595,halt,station
29858448,Mehrower Allee,52.5576080,13.5535509,halt,station
29858596,Marzahn,52.5436548,13.5413545,station,station
29881358,Wuhletal,52.5126122,13.5752134,station,station
29914588,Möttingen,48.8067617,10.5977869,station,stop_position
29914626,Hoppingen,48.8037273,10.6533511,halt,stop_position
29918297,Mahlsdorf,52.5120903,13.6104126,station,station
29919745,Hirschgarten,52.4579033,13.6031386,halt,station
29921519,Spindlersfeld,52.4468976,13.5615738,halt,station
29922973,Mochenwangen,47.8727485,9.6380407,station,station
29922993,Bad Waldsee,47.9250123,9.7520814,station,station
29922996,Meckenbeuren,47.7003052,9.5586727,halt,station
29930352,Friedelhausen,50.6719875,8.7110226,halt,stop_position
29930394,Großen Linden,50.5283335,8.6619710,station,stop_position
29930538,Ostheim (bei Butzbach),50.4066069,8.6751921,halt,stop_position
29932308,Bahnhof Carolasee,51.0338649,13.7629431,halt,station
29932344,Bahnhof Karcherallee,51.0309701,13.7718604,halt,station
29932372,Bahnhof Palaisteich,51.0359085,13.7671945,halt,station
29976784,Syke,52.9165346,8.8100791,station,station
30007104,Bremen-Sebaldsbrück,53.0612190,8.8878228,station,station
30019733,Rathaus Steglitz,52.4555293,13.3224998,station,station
30049622,Hauptwache,50.1137833,8.6792621,station,station
30049623,Eschenheimer Tor,50.1173865,8.6792640,station,station
30090229,Frelsdorf,53.5013060,8.9016606,halt,station
30096205,Kirchplatz,50.1252224,8.6373458,station,station
30209243,Bengel,50.0107216,7.0589251,halt,station
30209270,Bullay (DB),50.0542825,7.1346641,station,station
30209450,Neef,50.0907858,7.1393012,halt,station
30217208,Berlin Alexanderplatz,52.5214574,13.4110794,halt,station
30221936,Frankfurt am Main Flughafen Fernbahnhof,50.0529322,8.5699146,station,station
30226697,Geestgottberg,52.9557938,11.7372673,halt,station
30226711,Seehausen,52.8854852,11.7435291,halt,station
30229471,Neustadt (Dosse),52.8533306,12.4500127,station,station
30230059,Falkensee,52.5597359,13.0894796,station,station
30231539,Golm,52.4097952,12.9718767,station,station
30232550,Potsdam Park Sanssouci,52.3945735,13.0136905,station,station
30232718,Potsdam Hauptbahnhof,52.3917908,13.0672397,station,station
30245150,Birkenwerder,52.6886604,13.2886929,station,station
30248361,Wandlitz,52.7448349,13.4662163,station,station
30257444,Chemnitz-Siegmar,50.8155542,12.8430079,station,station
30268810,Lottschesee,52.8156318,13.4985695,halt,station
30268936,Ruhlsdorf-Zerpenschleuse,52.8436079,13.5419959,halt,station
30268974,Groß Schönebeck,52.9042351,13.5374770,station,station
30343549,Riedstadt-Goddelau,49.8332990,8.4893924,station,station
30345429,Entringen,48.5521721,8.9630346,station,station
