bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
5399VMBW,,Rottenburg(Neckar),5,Baden-Württemberg,2.91,7.35,
5400BEG,,Rottendorf,4,Bayern,3.19,7.89,
5401BEG,,Rottershausen,7,Bayern,2.13,5.65,
5405VMBW,,Rottweil,3,Baden-Württemberg,5.29,13.61,
7150VMBW,,RottweilGöllsdorf,7,Baden-Württemberg,1.9,5.07,
7152VMBW,,RottweilNeufra,7,Baden-Württemberg,1.9,5.07,
7151VMBW,,RottweilSaline,7,Baden-Württemberg,1.9,5.07,
5406VMV,,Rövershagen,5,Mecklenburg-Vorpommern,3.75,9.97,
8375VMV,,RövershagenKarlsErlebnisdorf(Purkshof),7,Mecklenburg-Vorpommern,3.47,9.27,
5408BWVI,,Rübenkamp,4,Hamburg,2.79,6.93,
5409BEG,,RückersbacherSchlucht,6,Bayern,2.89,7.59,
5411VBB,,Rückersdorf,7,Brandenburg,3.21,8.56,
5410BEG,,Rückersdorf(Mittelfr),5,Bayern,2.72,7.01,
5416RMV,,Rüdesheim(Rhein),5,Hessen,2.4,6.3,
5417VBB,,Rüdnitz,6,Brandenburg,3.98,10.22,
5418TLBV,,Rudolstadt(Thür),4,Thüringen,5.03,13.4,
5419TLBV,,Rudolstadt-Schwarza,6,Thüringen,3.43,9.13,
5422VBB,,Ruhland,5,Brandenburg,3.44,9.13,
5429ZÖPNVSüd,,Rülzheim,6,Rheinland-Pfalz,1.99,5.22,
8202ZÖPNVSüd,,RülzheimFreizeitzentrum,6,Rheinland-Pfalz,1.99,5.22,
5430VRR,,Rumeln,5,Nordrhein-Westfalen,2.32,5.93,
5431VRR,,Rummenohl,6,Nordrhein-Westfalen,2.76,7.0,
5432goR,,Ründeroth,6,Nordrhein-Westfalen,3.77,8.76,
5434RMV,,Runkel,6,Hessen,2.48,6.52,
5437ZVV,,Ruppertsgrün,6,Sachsen,3.51,9.38,
5438BEG,,Rupprechtstegen,6,Bayern,2.89,7.59,
5439BEG,,Rüsselbach,7,Bayern,2.13,5.65,
5440RMV,,Rüsselsheim,3,Hessen,4.14,10.93,
5441RMV,,RüsselsheimOpelwerk,4,Hessen,2.78,6.42,
5443VRStutt,,Rutesheim,5,Baden-Württemberg,2.09,5.58,
5444VMV,,Ruthenbeck,7,Mecklenburg-Vorpommern,3.47,9.27,
5447BEG,,Saal(Donau),6,Bayern,2.89,7.59,
5450TLBV,,Saalfeld(Saale),3,Thüringen,9.93,26.53,
5451ZPS,,SaarbrückenHbf,2,Saarland,30.37,81.05,
5453ZPS,,SaarbrückenOst,5,Saarland,1.58,4.0,
5454ZPS,,Saarbrücken-Burbach,6,Saarland,1.54,4.04,
5456ZVRPNord,,Saarburg(BzTrier),4,Rheinland-Pfalz,4.57,11.36,
5457ZPS,,Saarhölzbach,6,Saarland,1.54,4.04,
5458ZPS,,SaarlouisHbf,3,Saarland,4.69,10.93,
5459VBB,,Saarmund,6,Brandenburg,3.98,10.22,
5460RMV,,Saasen,7,Hessen,1.88,4.96,
5464BEG,,Sachsen(bAnsbach),6,Bayern,2.89,7.59,
5465NASA,,Sachsendorf(bCalbe),6,Sachsen-Anhalt,3.34,8.9,
5466VBB,,Sachsenhausen(Nordb),6,Brandenburg,3.98,10.22,
5468VMBW,,Sachsenheim,5,Baden-Württemberg,2.91,7.35,
5469VMV,,Sagard,7,Mecklenburg-Vorpommern,3.47,9.27,
5470LNVG,,Sagehorn,6,Niedersachsen,4.23,10.34,
5471VMBW,,Salach,6,Baden-Württemberg,2.35,6.18,
5472VMBW,,Salem,6,Baden-Württemberg,2.35,6.18,
5473BEG,,Sallach,7,Bayern,2.13,5.65,
1293ZVRPNord,,Salmtal,6,Rheinland-Pfalz,2.27,5.85,
5476LNVG,,Salzbergen,4,Niedersachsen,4.96,13.09,
5478RVB,,SalzgitterBad,6,Niedersachsen,4.87,10.77,
5479RVB,,Salzgitter-Immendorf,6,Niedersachsen,4.87,10.77,
5480RVB,,Salzgitter-Lebenstedt,6,Niedersachsen,4.87,10.77,
5481RVB,,Salzgitter-Ringelheim,5,Niedersachsen,4.19,10.4,
5482RVB,,Salzgitter-Thiede,6,Niedersachsen,4.87,10.77,
5483RVB,,Salzgitter-Watenstedt,7,Niedersachsen,2.54,6.37,
5484NWL,,Salzkotten,5,Nordrhein-Westfalen,3.91,9.89,
5487NASA,,Salzwedel,4,Sachsen-Anhalt,5.24,13.97,
5490VMV,,Samtens,6,Mecklenburg-Vorpommern,4.2,11.06,
5491BEG,,Sand(Niederbay),7,Bayern,2.13,5.65,
5495LNVG,,Sande,5,Niedersachsen,4.79,12.4,
5499NASA,,Sandersleben(Anh),4,Sachsen-Anhalt,5.24,13.97,
5500VMV,,Sandförde,6,Mecklenburg-Vorpommern,4.2,11.06,
5501VMV,,Sandhagen(bBadDoberan),7,Mecklenburg-Vorpommern,3.47,9.27,
5502LNVG,,Sandkrug,6,Niedersachsen,4.23,10.34,
5504NAHSH,,Sandwehle,7,Schleswig-Holstein,2.21,5.91,
5505NASA,,Sangerhausen,4,Sachsen-Anhalt,5.24,13.97,
5506VMV,,Sanitz(bRostock),6,Mecklenburg-Vorpommern,4.2,11.06,
5507NWL,,Sanssouci,7,Nordrhein-Westfalen,2.48,6.41,
5510LNVG,,Sarstedt,5,Niedersachsen,4.79,12.4,
5511ZVRPNord,,Sassenroth,7,Rheinland-Pfalz,2.0,4.62,
5513VMV,,Sassnitz,6,Mecklenburg-Vorpommern,4.2,11.06,
5516TLBV,,Sättelstädt,6,Thüringen,3.43,9.13,
5518goR,,Satzvey,6,Nordrhein-Westfalen,3.77,8.76,
5519BEG,,Sauerlach,5,Bayern,2.72,7.01,
5521BEG,,Saulgrub,7,Bayern,2.13,5.65,
5522ZÖPNVSüd,,Saulheim,6,Rheinland-Pfalz,1.99,5.22,
5523VBBBerlin,,Savignyplatz,4,Berlin,2.0,5.33,
5529ZPS,,Schafbrücke,6,Saarland,1.54,4.04,
5532BEG,,Schaftlach,5,Bayern,2.72,7.01,
7200ZÖPNVSüd,,Schaidt(Pf),7,Rheinland-Pfalz,1.49,4.01,
5536TLBV,,Schalkau,7,Thüringen,2.7,7.22,
8054TLBV,,Schalkau-Mitte,7,Thüringen,2.7,7.22,
5537NWL,,Schalksmühle,7,Nordrhein-Westfalen,2.48,6.41,
5538VMBW,,Schallstadt,5,Baden-Württemberg,2.91,7.35,
5540RVB,,Schandelah,6,Niedersachsen,4.87,10.77,
5541NAHSH,,Scharbeutz,5,Schleswig-Holstein,3.75,9.91,
5545NWL,,Scharmede,6,Nordrhein-Westfalen,3.85,9.87,
5547VMV,,Scharstorf,7,Mecklenburg-Vorpommern,3.47,9.27,
5552LNVG,,Scheeßel,5,Niedersachsen,4.79,12.4,
5554ZPS,,Scheidt(Saar),5,Saarland,1.58,4.0,
5556VMBW,,Schelklingen,6,Baden-Württemberg,2.35,6.18,
5557VMBW,,Schemmerberg,6,Baden-Württemberg,2.35,6.18,
5558VMBW,,Schenkenzell,6,Baden-Württemberg,2.35,6.18,
7436VMBW,,Scheppach,6,Baden-Württemberg,2.35,6.18,
5559NWL,,Scherfede,6,Nordrhein-Westfalen,3.85,9.87,
5561ZVRPNord,,Scheuerfeld(Sieg),6,Rheinland-Pfalz,2.27,5.85,
5562goR,,Scheven,6,Nordrhein-Westfalen,3.77,8.76,
5563VBBBerlin,,Schichauweg,5,Berlin,1.96,5.19,
5564NWL,,Schieder,6,Nordrhein-Westfalen,3.85,9.87,
5565LNVG,,Schierbrok,6,Niedersachsen,4.23,10.34,
5566NASA,,Schierstedt,7,Sachsen-Anhalt,2.77,7.39,
5567ZÖPNVSüd,,Schifferstadt,3,Rheinland-Pfalz,3.96,10.57,
5568ZÖPNVSüd,,SchifferstadtSüd,5,Rheinland-Pfalz,2.95,7.78,
5569ZPS,,Schiffweiler,6,Saarland,1.54,4.04,
5570VMBW,,Schiltach,6,Baden-Württemberg,2.35,6.18,
5571VMBW,,SchiltachMitte,7,Baden-Württemberg,1.9,5.07,
5572ZVON,,Schirgiswalde-Kirschau,6,Sachsen,3.28,8.7,
5573BEG,,Schirnding,6,Bayern,2.89,7.59,
5574ZVNL,,Schkeuditz,5,Sachsen,3.24,8.61,
8095ZVNL,,SchkeuditzWest,6,Sachsen,2.56,6.83,
5576NASA,,Schkopau,5,Sachsen-Anhalt,3.29,8.62,
5579RVB,,Schladen(Harz),6,Niedersachsen,4.87,10.77,
5580goR,,Schladern(Sieg),5,Nordrhein-Westfalen,2.69,7.09,
5583ZVON,,Schleife,6,Sachsen,3.28,8.7,
5588NAHSH,,Schleswig,5,Schleswig-Holstein,3.75,9.91,
5594VMBW,,Schliengen,6,Baden-Württemberg,2.35,6.18,
5595NVV,,Schlierbach(KrSchwalm-Eder),6,Hessen,2.73,7.26,
5597BEG,,Schliersee,6,Bayern,2.89,7.59,
5598NWL,,SchloßHolte,6,Nordrhein-Westfalen,3.85,9.87,
5600VMBW,,Schluchsee,6,Baden-Württemberg,2.35,6.18,
5601RMV,,Schlüchtern,4,Hessen,2.78,6.42,
5603TLBV,,Schmalkalden,6,Thüringen,3.43,9.13,
5605TLBV,,SchmalkaldenFachhochschule,6,Thüringen,3.43,9.13,
5606RMV,,Schmalnau,7,Hessen,1.88,4.96,
5607goR,,Schmidtheim,6,Nordrhein-Westfalen,3.77,8.76,
5608VMBW,,Schmiechen,6,Baden-Württemberg,2.35,6.18,
5609BEG,,Schmiechen(Schwab),7,Bayern,2.13,5.65,
5614VVO,,Schmilka-Hirschmühle,6,Sachsen,2.85,7.61,
5617ZVON,,Schmölln(Oberlausitz),6,Sachsen,3.28,8.7,
5618TLBV,,Schmölln(Thür),6,Thüringen,3.43,9.13,
5622BEG,,Schnabelwaid,6,Bayern,2.89,7.59,
5623BEG,,SchnaittachMarkt,6,Bayern,2.89,7.59,
5626VBB,,Schneeberg(Mark),7,Brandenburg,3.21,8.56,
8010LNVG,,Schnega,6,Niedersachsen,4.23,10.34,
5628BEG,,Schnelldorf,6,Bayern,2.89,7.59,
5629LNVG,,Schneverdingen,6,Niedersachsen,4.23,10.34,
5630BEG,,Schney,6,Bayern,2.89,7.59,
5631ZVRPNord,,Schoden-Ockfen,6,Rheinland-Pfalz,2.27,5.85,
5635VVO,,Schöna,5,Sachsen,2.08,5.53,
5636TLBV,,Schönau(Hörsel),6,Thüringen,3.43,9.13,
5639VMV,,Schönberg(Meckl),6,Mecklenburg-Vorpommern,4.2,11.06,
5640ZVV,,Schönberg(Vogtl),7,Sachsen,3.28,8.76,
5641VBB,,Schönborn(bDoberlug),6,Brandenburg,3.98,10.22,
5644BEG,,Schondorf(Bay),6,Bayern,2.89,7.59,
5645NASA,,Schönebeck(Elbe),3,Sachsen-Anhalt,6.59,17.26,
5646NASA,,Schönebeck(Elbe)Süd,6,Sachsen-Anhalt,3.34,8.9,
5649NASA,,Schönebeck-BadSalzelmen,6,Sachsen-Anhalt,3.34,8.9,
5647NASA,,Schönebeck-Felgeleben,6,Sachsen-Anhalt,3.34,8.9,
5648NASA,,Schönebeck-Frohse,6,Sachsen-Anhalt,3.34,8.9,
,558VBBBerlin,Schöneberg,4,Berlin,2.0,5.33,
5651ZVV,,Schöneck(Vogtl),6,Sachsen,3.51,9.38,
8017ZVV,,Schöneck(Vogtl)Ferienpark,7,Sachsen,3.28,8.76,
955RMV,,Schöneck-Büdesheim,6,Hessen,2.48,6.52,
3178RMV,,Schöneck-Kilianstädten,6,Hessen,2.48,6.52,
4633RMV,,Schöneck-Oberdorfelden,6,Hessen,2.48,6.52,
1821VBB,,Schönefeld(beiBerlin),3,Brandenburg,7.57,,"20,21Namealt:FlughafenBER-Terminal5(Schönefeld)"
5656RVB,,Schönewörde,7,Niedersachsen,2.54,6.37,
5659VBB,,Schönfließ,6,Brandenburg,3.98,10.22,
5660VBB,,SchönfließDorf,6,Brandenburg,3.98,10.22,
5661BEG,,Schongau,5,Bayern,2.72,7.01,
5662BEG,,Schöngeising,5,Bayern,2.72,7.01,
5663NASA,,Schönhausen(Elbe),7,Sachsen-Anhalt,2.77,7.39,
5665VBBBerlin,,SchönhauserAllee,4,Berlin,2.0,5.33,
5670VBB,,Schönow(Uckermark),7,Brandenburg,3.21,,"8,56Namealt:Schönow(KrUckermark)"
5671TLBV,,Schönstedt,6,Thüringen,3.43,9.13,
5672BEG,,Schonungen,6,Bayern,2.89,7.59,
5673BEG,,Schönwald(Oberfr),7,Bayern,2.13,5.65,
5675VBB,,Schönwalde(Spreewald),6,Brandenburg,3.98,10.22,
5677VMBW,,Schopfheim,4,Baden-Württemberg,3.92,10.18,
8046VMBW,,SchopfheimWest,6,Baden-Württemberg,2.35,6.18,
8311VMBW,,Schopfheim-Schlattholz,6,Baden-Württemberg,2.35,6.18,
5678VMBW,,Schopfloch(bFreudenstadt),6,Baden-Württemberg,2.35,6.18,
5680ZÖPNVSüd,,Schopp,6,Rheinland-Pfalz,1.99,5.22,
5681RVB,,Schöppenstedt,6,Niedersachsen,4.87,10.77,
5682VMBW,,Schorndorf,3,Baden-Württemberg,5.29,13.61,
2646LNVG,,Schortens-Heidmühle(Oldb),6,Niedersachsen,4.23,10.34,
5684NWL,,Schötmar,6,Nordrhein-Westfalen,3.85,9.87,
5686VMBW,,Schrezheim,7,Baden-Württemberg,1.9,5.07,
5687BEG,,Schrobenhausen,6,Bayern,2.89,7.59,
7282NAHSH,,Schülldorf,7,Schleswig-Holstein,2.21,5.91,
7734VBBBerlin,,Schulzendorf(bTegel),5,Berlin,1.96,5.19,
5692TLBV,,Schüptitz,7,Thüringen,2.7,7.22,
5693LNVG,,Schüttorf,6,Niedersachsen,4.23,10.34,
5695VMV,,Schwaan,5,Mecklenburg-Vorpommern,3.75,9.97,
5696BEG,,Schwabach,3,Bayern,4.75,12.53,
5697BEG,,Schwabach-Limbach,5,Bayern,2.72,7.01,
5698BEG,,Schwabhausen(bDachau),6,Bayern,2.89,7.59,
5699VMBW,,SchwäbischGmünd,4,Baden-Württemberg,3.92,10.18,
5700VMBW,,SchwäbischHall,6,Baden-Württemberg,2.35,6.18,
5701VMBW,,SchwäbischHall-Hessental,4,Baden-Württemberg,3.92,10.18,
5702BEG,,Schwabmünchen,5,Bayern,2.72,7.01,
5703VMBW,,Schwabsberg,7,Baden-Württemberg,1.9,5.07,
5704BEG,,Schwaig,6,Bayern,2.89,7.59,
5707VRStutt,,Schwaikheim,5,Baden-Württemberg,2.09,5.58,
5708RMV,,SchwalbachaTs(Limes),5,Hessen,2.4,6.3,
8197RMV,,SchwalbachNord,6,Hessen,2.48,6.52,
5709TLBV,,Schwallungen,6,Thüringen,3.43,9.13,
6740NVV,,Schwalmstadt-Wiera,6,Hessen,2.73,7.26,
5710BEG,,Schwandorf,4,Bayern,3.19,7.89,
5714VMV,,Schwanheide,6,Mecklenburg-Vorpommern,4.2,11.06,
5715VBB,,Schwante,7,Brandenburg,3.21,8.56,
5716LNVG,,Schwarmstedt,6,Niedersachsen,4.23,10.34,
5723BEG,,Schwarzenbach(bPressath),7,Bayern,2.13,5.65,
5724BEG,,Schwarzenbach(Saale),6,Bayern,2.89,7.59,
5726NAHSH,,Schwarzenbek,5,Schleswig-Holstein,3.75,9.91,
5731BEG,,Schwarzenfeld(Oberpf),5,Bayern,2.72,7.01,
5733VBB,,SchwarzheideOst,6,Brandenburg,3.98,10.22,
5735VVO,,Schwarzkollm,6,Sachsen,2.85,7.61,
5736VBB,,Schwedt(Oder),6,Brandenburg,3.98,10.22,
7740VBB,,Schwedt(Oder)Mitte,6,Brandenburg,3.98,10.22,
5739ZVRPNord,,SchweichDB,5,Rheinland-Pfalz,2.59,5.24,
7854ZÖPNVSüd,,Schweighofen,7,Rheinland-Pfalz,1.49,4.01,
5741VMS,,Schweikershain,6,Sachsen,3.63,9.66,
5742BEG,,SchweinfurtHbf,3,Bayern,4.75,12.53,
5743BEG,,SchweinfurtStadt,5,Bayern,2.72,7.01,
4926BEG,,Schweinfurt-Mitte,6,Bayern,2.89,7.59,
5745VMS,,Schweinsburg-Culten,6,Sachsen,3.63,9.66,
5746BEG,,Schweinsdorf,7,Bayern,2.13,5.65,
5749VRR,,Schwelm,3,Nordrhein-Westfalen,4.71,11.77,
5750VRR,,SchwelmWest,6,Nordrhein-Westfalen,2.76,7.0,
5751BEG,,Schwenningen(Bay),7,Bayern,2.13,5.65,
5752VMBW,,Schwenningen(Neckar),6,Baden-Württemberg,2.35,6.18,
5758VMV,,SchwerinGörries,6,Mecklenburg-Vorpommern,4.2,11.06,
5755VMV,,SchwerinHbf,3,Mecklenburg-Vorpommern,27.07,69.66,
8372VMV,,SchwerinIndustriepark,7,Mecklenburg-Vorpommern,3.47,9.27,
5025VMV,,SchwerinMitte,5,Mecklenburg-Vorpommern,3.75,9.97,
5756VMV,,SchwerinSüd,6,Mecklenburg-Vorpommern,4.2,11.06,
5760VMV,,Schwerin-Lankow,7,Mecklenburg-Vorpommern,3.47,9.27,
5761VMV,,Schwerin-Margaretenhof,7,Mecklenburg-Vorpommern,3.47,9.27,
5759VMV,,Schwerin-Warnitz,7,Mecklenburg-Vorpommern,3.47,9.27,
6961VMV,,Schwerin-Wüstmark,7,Mecklenburg-Vorpommern,3.47,9.27,
5763NWL,,Schwerte(Ruhr),4,Nordrhein-Westfalen,5.03,11.82,
1641NWL,,Schwerte-Ergste,6,Nordrhein-Westfalen,3.85,,"9,87Namealt:Ergste"
5766VMBW,,Schwetzingen,4,Baden-Württemberg,3.92,10.18,
8260VMBW,,Schwetzingen-Hirschacker,5,Baden-Württemberg,2.91,7.35,
8261VMBW,,Schwetzingen-Nordstadt,6,Baden-Württemberg,2.35,6.18,
5768BEG,,Schwindegg,5,Bayern,2.72,7.01,
5770VMBW,,Schwörstadt,6,Baden-Württemberg,2.35,6.18,
5771VVO,,Sebnitz(Sachs),6,Sachsen,2.85,7.61,
5772RMV,,Sechshelden,6,Hessen,2.48,6.52,
5774VMBW,,Seckach,4,Baden-Württemberg,3.92,10.18,
5775VBB,,Seddin,5,Brandenburg,3.44,9.13,
5776VBB,,SedlitzOst,6,Brandenburg,3.98,10.22,
5777TLBV,,Seebach(KrMühlhausen),7,Thüringen,2.7,7.22,
5781TLBV,,Seebergen,6,Thüringen,3.43,9.13,
5782VMBW,,Seebrugg,6,Baden-Württemberg,2.35,6.18,
5783VBB,,Seefeld(Mark),6,Brandenburg,3.98,10.22,
5784BEG,,Seefeld-Hechendorf,5,Bayern,2.72,7.01,
5785BEG,,Seeg,6,Bayern,2.89,7.59,
7743VBB,,Seegefeld,5,Brandenburg,3.44,9.13,
5786NASA,,Seehausen(Altm),6,Sachsen-Anhalt,3.34,8.9,
5788VBB,,Seehausen(Uckermark),6,Brandenburg,3.98,10.22,
5789BEG,,Seeleiten-Berggeist,7,Bayern,2.13,5.65,
5793VBB,,Seelow(Mark),6,Brandenburg,3.98,10.22,
2427VBB,,Seelow-Gusow,6,Brandenburg,3.98,10.22,
5795RH,,SeelzePbf,4,Niedersachsen,4.42,11.76,
5796VVO,,Seerhausen,6,Sachsen,2.85,7.61,
5797RVB,,Seesen,5,Niedersachsen,4.19,10.4,
5798BEG,,Seeshaupt,6,Bayern,2.89,7.59,
5800ZVRPNord,,Sehlem(KrWittlich),6,Rheinland-Pfalz,2.27,5.85,
5802RH,,Sehnde,5,Niedersachsen,4.35,11.59,
5809ZVON,,Seitschen,6,Sachsen,3.28,8.7,
5810BEG,,SelbNord,7,Bayern,2.13,5.65,
5811BEG,,SelbStadt,7,Bayern,2.13,5.65,
5813BEG,,Selbitz,6,Bayern,2.89,7.59,
5812BEG,,Selb-Plößberg,7,Bayern,2.13,5.65,
5814BEG,,Seligenstadt(bWürzburg),6,Bayern,2.89,7.59,
5815RMV,,Seligenstadt(Hess),6,Hessen,2.48,6.52,
5818NWL,,Selm,6,Nordrhein-Westfalen,3.85,,"9,87Namealt:Selm(KrLüdinghausen)"
5819NWL,,Selm-Beifang,6,Nordrhein-Westfalen,3.85,9.87,
5820TLBV,,Seltendorf,7,Thüringen,2.7,7.22,
5822BEG,,Senden,5,Bayern,2.72,7.01,
800NWL,,Senden-Bösensell,5,Nordrhein-Westfalen,3.91,,"9,89Namealt:Bösensell"
5823VBB,,Senftenberg,5,Brandenburg,3.44,9.13,
5826VMBW,,Sennfeld,6,Baden-Württemberg,2.35,6.18,
5829ZVRPNord,,Serrig,6,Rheinland-Pfalz,2.27,5.85,
5830VMBW,,Sersheim,5,Baden-Württemberg,2.91,7.35,
5831BEG,,Seubersdorf,5,Bayern,2.72,7.01,
5832RMV,,Seulberg,5,Hessen,2.4,6.3,
5833BEG,,Seulbitz,7,Bayern,2.13,5.65,
5835BEG,,Seybothenreuth,6,Bayern,2.89,7.59,
5836ZÖPNVSüd,,Siebeldingen-Birkweiler,7,Rheinland-Pfalz,1.49,4.01,
5839NWL,,Siedlinghausen,7,Nordrhein-Westfalen,2.48,6.41,
5840goR,,Siegburg/Bonn,3,Nordrhein-Westfalen,5.27,13.91,
5841BEG,,Siegelsdorf,4,Bayern,3.19,7.89,
5842NWL,,SiegenHbf,3,Nordrhein-Westfalen,7.97,17.74,
2957NWL,,Siegen-Geisweid,6,Nordrhein-Westfalen,3.85,9.87,
5844NWL,,Siegen-Weidenau,4,Nordrhein-Westfalen,5.03,11.82,
5846NAHSH,,Sierksdorf,6,Schleswig-Holstein,3.53,9.43,
5847ZPS,,Siersburg,6,Saarland,1.54,4.04,
5848ZVRPNord,,Siershahn,6,Rheinland-Pfalz,2.27,5.85,
5852VMBW,,Siglingen,6,Baden-Württemberg,2.35,6.18,
5853VMBW,,Sigmaringen,5,Baden-Württemberg,2.91,7.35,
8007VMBW,,Sigmaringendorf,7,Baden-Württemberg,1.9,5.07,
5854NWL,,Silbach,7,Nordrhein-Westfalen,2.48,6.41,
5855TLBV,,Silberhausen,6,Thüringen,3.43,9.13,
5860BEG,,Simmelsdorf-Hüttenbach,6,Bayern,2.89,7.59,
5863VRStutt,,Sindelfingen,6,Baden-Württemberg,1.98,5.26,
5864goR,,Sindorf,6,Nordrhein-Westfalen,3.77,8.76,
5865VMBW,,Singen(Hohentwiel),2,Baden-Württemberg,15.35,40.77,
5866TLBV,,Singen(Thür),7,Thüringen,2.7,7.22,
7974VMBW,,Singen-Industriegebiet,6,Baden-Württemberg,2.35,6.18,
8005VMBW,,Singen-Landesgartenschau,6,Baden-Württemberg,2.35,6.18,
5867NVV,,Singlis,6,Hessen,2.73,7.26,
5869RMV,,Sinn,6,Hessen,2.48,6.52,
5870VMBW,,Sinsheim(Elsenz)Hbf,4,Baden-Württemberg,3.92,10.18,
7178VMBW,,SinsheimMuseum/Arena,6,Baden-Württemberg,2.35,6.18,
7162VMBW,,Sinzheim,6,Baden-Württemberg,2.35,6.18,
5794VMBW,,SinzheimNord,6,Baden-Württemberg,2.35,6.18,
5871ZVRPNord,,Sinzig(Rhein),4,Rheinland-Pfalz,4.57,11.36,
5872BEG,,Sinzing(bRegensburg),6,Bayern,2.89,7.59,
5873VMBW,,Sipplingen,6,Baden-Württemberg,2.35,6.18,
5876NWL,,Soest,3,Nordrhein-Westfalen,7.97,17.74,
5877ZVV,,Sohl,7,Sachsen,3.28,8.76,
5878ZVON,,Sohland,6,Sachsen,3.28,8.7,
5882VRR,,SolingenHbf,2,Nordrhein-Westfalen,9.8,26.07,
5881VRR,,SolingenVogelpark,5,Nordrhein-Westfalen,2.32,5.93,
5778VRR,,Solingen-Grünewald,5,Nordrhein-Westfalen,2.32,5.93,
5414VRR,,Solingen-Mitte,6,Nordrhein-Westfalen,2.76,7.0,
5883VRR,,Solingen-Schaberg,6,Nordrhein-Westfalen,2.76,7.0,
5888TLBV,,Sollstedt,6,Thüringen,3.43,9.13,
5889RMV,,Solms,6,Hessen,2.48,6.52,
5890BEG,,Solnhofen,6,Bayern,2.89,7.59,
5891NASA,,Solpke,7,Sachsen-Anhalt,2.77,7.39,
5892LNVG,,Soltau(Han),5,Niedersachsen,4.79,12.4,
5893LNVG,,Soltau(Han)Nord,7,Niedersachsen,2.85,7.6,
8011LNVG,,Soltendieck,7,Niedersachsen,2.85,7.6,
5895TLBV,,Sömmerda,4,Thüringen,5.03,13.4,
5896NWL,,Sondern,6,Nordrhein-Westfalen,3.85,9.87,
5897ZÖPNVSüd,,Sondernheim,6,Rheinland-Pfalz,1.99,5.22,
5898TLBV,,Sondershausen,6,Thüringen,3.43,9.13,
5904TLBV,,Sonneberg(Thür)Hbf,4,Thüringen,5.03,13.4,
5901TLBV,,Sonneberg(Thür)Nord,7,Thüringen,2.7,7.22,
5902TLBV,,Sonneberg(Thür)Ost,7,Thüringen,2.7,7.22,
5903TLBV,,Sonneberg(Thür)West,7,Thüringen,2.7,7.22,
7736VBBBerlin,,Sonnenallee,4,Berlin,2.0,5.33,
5905BEG,,Sontheim(Schwab),6,Bayern,2.89,7.59,
5906VMBW,,Sontheim-Brenz,6,Baden-Württemberg,2.35,6.18,
5907BEG,,Sonthofen,4,Bayern,3.19,7.89,
5908NVV,,Sontra,6,Hessen,2.73,7.26,
5912NAHSH,,Sörup,6,Schleswig-Holstein,3.53,9.43,
5913LNVG,,Sottrum,5,Niedersachsen,4.79,12.4,
5916VMBW,,Spaichingen,5,Baden-Württemberg,2.91,7.35,
8037VMBW,,SpaichingenMitte,7,Baden-Württemberg,1.9,5.07,
5917ZVRPNord,,Spay,6,Rheinland-Pfalz,2.27,5.85,
5920ZVRPNord,,Speicher,6,Rheinland-Pfalz,2.27,5.85,
5921BEG,,Speikern,6,Bayern,2.89,7.59,
5923ZÖPNVSüd,,SpeyerHbf,4,Rheinland-Pfalz,2.84,7.4,
1607ZÖPNVSüd,,SpeyerNord-West,6,Rheinland-Pfalz,1.99,5.22,
5924goR,,Spich,5,Nordrhein-Westfalen,2.69,7.09,
5925BEG,,Spiegelau,7,Bayern,2.13,5.65,
5926VMV,,Sponholz,6,Mecklenburg-Vorpommern,4.2,11.06,
5927VMV,,Spornitz,7,Mecklenburg-Vorpommern,3.47,9.27,
5930VBB,,Spremberg,6,Brandenburg,3.98,10.22,
5932ZÖPNVSüd,,Sprendlingen(Rheinhess),6,Rheinland-Pfalz,1.99,5.22,
5933RH,,Springe,4,Niedersachsen,4.42,11.76,
5934VBBBerlin,,Springpfuhl,4,Berlin,2.0,5.33,
5935LNVG,,Sprötze,5,Niedersachsen,4.79,12.4,
5936VMS,,StEgidien,5,Sachsen,3.34,8.91,
8123BEG,,StAlban,6,Bayern,2.89,7.59,
5938VMBW,,StGeorgen(Schwarzw),5,Baden-Württemberg,2.91,7.35,
5939ZVRPNord,,StGoar,5,Rheinland-Pfalz,2.59,5.24,
5940ZVRPNord,,StGoarshausen,6,Rheinland-Pfalz,2.27,5.85,
5941VMBW,,StIlgen/Sandhausen,5,Baden-Württemberg,2.91,7.35,
5942ZPS,,StIngbert,3,Saarland,4.69,10.93,
5944BEG,,StKoloman,6,Bayern,2.89,7.59,
5945BEG,,StMang,6,Bayern,2.89,7.59,
5949NAHSH,,StMichaelisdonn,5,Schleswig-Holstein,3.75,9.91,
5946BEG,,StOttilien,6,Bayern,2.89,7.59,
5947ZVRPNord,,StThomas,6,Rheinland-Pfalz,2.27,5.85,
5948ZPS,,StWendel,4,Saarland,3.19,6.65,
5950LNVG,,Stade,4,Niedersachsen,4.96,13.09,
5952VVO,,StadtWehlen(Sachs),5,Sachsen,2.08,5.53,
5953RMV,,Stadtallendorf,4,Hessen,2.78,6.42,
5954LNVG,,Stadthagen,4,Niedersachsen,4.96,13.09,
5955BWVI,,Stadthausbrücke,4,Hamburg,2.79,6.93,
5956TLBV,,Stadtilm,6,Thüringen,3.43,9.13,
