bf_nr,aufgabentraeger,bahnhof,preisklasse,bundesland,preis_spnv,preis_spfv,bemerkung
,197ZÖPNVSüd,Asselheim,7,Rheinland-Pfalz,1.49,4.01,
198RMV,,Assenheim(Oberhess),6,Hessen,2.48,6.52,
199RMV,,Aßlar,6,Hessen,2.48,6.52,
200BEG,,Aßling(Oberbay),5,Bayern,2.72,7.01,
201RMV,,Assmannshausen,5,Hessen,2.4,6.3,
202NWL,,Attendorn,6,Nordrhein-Westfalen,3.85,9.87,
7966NWL,,AttendornHohen-Hagen,7,Nordrhein-Westfalen,2.48,6.41,
,203VBBBerlin,Attilastraße,4,Berlin,2.0,5.33,
204goR,,Au(Sieg),3,Nordrhein-Westfalen,5.27,13.91,
208TLBV,,Auehütte,7,Thüringen,2.7,7.22,
209VMBW,,Auerbach(bMosbach),6,Baden-Württemberg,2.35,6.18,
210ZVV,,Auerbach(Vogtl)Hp,7,Sachsen,3.28,8.76,
211ZVV,,Auerbach(Vogtl)obBf,7,Sachsen,3.28,8.76,
212ZVV,,Auerbach(Vogtl)untBf,7,Sachsen,3.28,8.76,
213ZPS,,Auersmacher,6,Saarland,1.54,4.04,
214TLBV,,Auerstedt,7,Thüringen,2.7,7.22,
207NWL,,Aue-Wingeshausen,7,Nordrhein-Westfalen,2.48,6.41,
216BEG,,Aufhausen(bErding),6,Bayern,2.89,7.59,
217VMBW,,Aufhausen(Württ),7,Baden-Württemberg,1.9,5.07,
218VMBW,,Auggen,5,Baden-Württemberg,2.91,7.35,
219BEG,,AugsburgHaunstetterstraße,3,Bayern,4.75,12.53,
220BEG,,AugsburgHbf,2,Bayern,13.72,36.53,
7996BEG,,AugsburgMesse,5,Bayern,2.72,7.01,
222BEG,,AugsburgMorellstraße,6,Bayern,2.89,7.59,
223BEG,,Augsburg-Hochzoll,3,Bayern,4.75,12.53,
224BEG,,Augsburg-Oberhausen,4,Bayern,3.19,7.89,
225LNVG,,Augustfehn,5,Niedersachsen,4.79,12.4,
2996NAHSH,,Aukrug,7,Schleswig-Holstein,2.21,5.91,
226VMBW,,Aulendorf,4,Baden-Württemberg,3.92,10.18,
228RMV,,Aumenau,6,Hessen,2.48,6.52,
229NAHSH,,Aumühle,4,Schleswig-Holstein,4.78,12.76,
230RMV,,Auringen-Medenbach,6,Hessen,2.48,6.52,
231BEG,,Außenried,7,Bayern,2.13,5.65,
,232ZVRPNord,AuwanderKyll,6,Rheinland-Pfalz,2.27,5.85,
