@id;name;@lat;@lon;railway;public_transport;Index1_df0;Code_df0;Serviceeinrichtung_df0;Category_df0;State_df0;Price_SPNV_df0;Price_SPFV_df0;Bemerkung_df0;match_type;match_score;match_subtype;confidence;explanation
21302157;Tiergarten;52.5143746;13.3364504;station;station;6217;VBB Berlin;Tiergarten;4.0;Berlin;2,00 €;5,33 €;;exact;100;;;
21303961;Westerhausen;52.2361633;8.2791163;halt;station;6713;LNVG;Westerhausen;6.0;Niedersachsen;4,23 €;10,34 €;;exact;100;;;
21303996;Bünde (Westf);52.202246;8.5743329;station;station;968;NWL;Bünde (Westf);4.0;Nordrhein-Westfalen;5,03 €;11,82 €;;exact;100;;;
21304009;Kirchlengern;52.1967257;8.6439681;station;station;3201;NWL;Kirchlengern;5.0;Nordrhein-Westfalen;3,91 €;9,89 €;;exact;100;;;
21306328;Lehrte;52.3764871;9.9742264;station;station;3620;RH;Lehrte;3.0;Niedersachsen;5,51 €;14,71 €;;exact;100;;;
21308179;Meinersen;52.4492981;10.3217888;station;station;4031;RVB;Meinersen;6.0;Niedersachsen;4,87 €;10,77 €;;exact;100;;;
21322676;Rastatt;48.8605562;8.2156411;station;station;5125;VM BW;Rastatt;4.0;Baden-Württemberg;3,92 €;10,18 €;;exact;100;;;
21385751;Storkower Straße;52.5237432;13.4648885;halt;station;6042;VBB Berlin;Storkower Straße;4.0;Berlin;2,00 €;5,33 €;;exact;100;;;
21386662;Bühl (Baden);48.6965896;8.1293925;halt;station;960;VM BW;Bühl (Baden);5.0;Baden-Württemberg;2,91 €;7,35 €;;exact;100;;;
21387034;Gengenbach;48.4045788;8.0101727;station;station;2062;VM BW;Gengenbach;4.0;Baden-Württemberg;3,92 €;10,18 €;;exact;100;;;
21387066;Steinach (Baden);48.299475;8.0560897;station;;5982;VM BW;Steinach (Baden);6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
21387242;Hornberg;48.2119914;8.2330817;station;station;2913;VM BW;Hornberg;5.0;Baden-Württemberg;2,91 €;7,35 €;;exact;100;;;
21412509;Ladenburg;49.4745688;8.6030889;station;station;3490;VM BW;Ladenburg;4.0;Baden-Württemberg;3,92 €;10,18 €;;exact;100;;;
21412516;Neu-Edingen/Friedrichsfeld;49.4487505;8.5802752;station;station;3927;VM BW;Neu-Edingen/Friedrichsfeld;3.0;Baden-Württemberg;5,29 €;13,61 €;;exact;100;;;
21412528;Heddesheim/Hirschberg;49.5093513;8.6336719;station;station;2362;VM BW;Heddesheim/Hirschberg;4.0;Baden-Württemberg;3,92 €;10,18 €;;exact;100;;;
21438697;Lichtenfels;50.1462694;11.0589522;station;station;3700;BEG;Lichtenfels;3.0;Bayern;4,75 €;12,53 €;;exact;100;;;
21487225;Jannowitzbrücke;52.5142146;13.4194925;halt;station;3032;VBB Berlin;Jannowitzbrücke;4.0;Berlin;2,00 €;5,33 €;;exact;100;;;
21618706;Alpirsbach;48.3439543;8.3982995;station;station;63;VM BW;Alpirsbach;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
21618713;Loßburg-Rodt;48.4178698;8.4530561;halt;stop_position;3790;VM BW;Loßburg-Rodt;7.0;Baden-Württemberg;1,90 €;5,07 €;;exact;100;;;
21661361;Eystrup;52.7839495;9.2311697;station;station;1743;LNVG;Eystrup;5.0;Niedersachsen;4,79 €;12,40 €;;exact;100;;;
24965627;Bremen-Hemelingen;53.0539423;8.8871732;station;station;858;SUBV;Bremen-Hemelingen;6.0;Bremen;1,84 €;4,87 €;;exact;100;;;
25233549;Reutlingen Hbf;48.4964698;9.2096132;station;station;5242;VM BW;Reutlingen Hbf;3.0;Baden-Württemberg;5,29 €;13,61 €;;exact;100;;;
25242218;Karlsruhe West;49.0023942;8.3628863;station;station;3108;VM BW;Karlsruhe West;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
25268471;Verden (Aller);52.9207954;9.237876;station;station;6408;LNVG;Verden (Aller);3.0;Niedersachsen;9,17 €;24,07 €;;exact;100;;;
25268512;Wunstorf;52.4221569;9.4514075;station;station;6913;RH;Wunstorf;3.0;Niedersachsen;5,51 €;14,71 €;;exact;100;;;
25346731;Dresden-Friedrichstadt;51.056018;13.7081312;station;station;1348;VVO;Dresden-Friedrichstadt;5.0;Sachsen;2,08 €;5,53 €;;exact;100;;;
25397500;Dresden Hbf;51.0402452;13.7320768;station;station;1343;VVO;Dresden Hbf;1.0;Sachsen;34,68 €;92,56 €;;exact;100;;;
25436271;Bruchsal;49.1244292;8.5897927;station;station;904;VM BW;Bruchsal;2.0;Baden-Württemberg;15,35 €;40,77 €;;exact;100;;;
25436312;Ubstadt-Weiher;49.1668501;8.6232621;halt;station;6302;VM BW;Ubstadt-Weiher;6.0;Baden-Württemberg;2,35 €;6,18 €;;exact;100;;;
